Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
84.4,14.70759
84.45,13.316
84.5,12.28479
84.55,11.4798
84.6,10.84242
84.65,10.2095
84.7,9.410764
84.75,8.438086
84.8,7.435237
84.85,6.721733
84.9,6.108327
84.95,5.349636
85,4.812805
85.05,4.111487
85.1,3.288825
85.15,2.331606
85.2,1.568067
85.25,0.9533762
85.3,0.4421853
85.35,5.107401E-02
85.4,-0.1480919
85.45,-0.3929999
85.5,-0.6778767
85.55,-0.9094524
85.6,-1.06872
85.65,-1.182652
85.7,-1.344706
85.75,-1.418723
85.8,-1.501
85.85,-1.670159
85.9,-1.799228
85.95,-1.888478
86,-2.015793
86.05,-2.182798
86.1,-2.47706
86.15,-2.463279
86.2,-2.640483
86.25,-2.64493
86.3,-2.540336
86.35,-2.575211
86.4,-2.69146
86.45,-2.893382
86.5,-3.044224
86.55,-3.01872
86.6,-2.899942
86.65,-2.57365
86.7,-1.790028
86.75,-0.367969
86.8,2.499532
86.85,7.245749
86.9,14.95772
86.95,26.39836
87,42.52229
87.05,63.32393
87.1,88.91769
87.15,120.1702
87.2,153.3386
87.25,185.544
87.3,215.4312
87.35,239.3749
87.4,256.3239
87.45,266.3112
87.5,269.1348
87.55,264.3596
87.6,251.7777
87.65,232.3845
87.7,208.3532
87.75,181.814
87.8,155.0388
87.85,131.5679
87.9,111.3659
87.95,95.41753
88,83.00003
88.05,73.90381
88.1,65.85513
88.15,58.98855
88.2,52.74781
88.25,47.56797
88.3,43.20758
88.35,39.98635
88.4,37.17538
88.45,34.412
88.5,31.90376
88.55,29.70969
88.6,27.66465
88.65,25.60834
88.7,23.42252
88.75,21.18183
88.8,19.27391
88.85,17.28109
88.9,15.71994
88.95,14.37555
89,12.83051
89.05,10.71945
89.1,9.110027
89.15,8.026634
89.2,7.38016
89.25,6.526391
89.3,5.6948
89.35,4.650796
89.4,3.502319
89.45,2.386948
89.5,1.63306
89.55,1.16783
89.6,0.7545301
89.65,0.393137
89.7,0.1281198
89.75,0.183428
89.8,0.1881257
89.85,0.7638618
89.9,1.893786
89.95,4.487879
90,9.256607
90.05,16.74737
90.1,27.79133
90.15,42.96372
90.2,61.085
90.25,83.77601
90.3,108.873
90.35,136.2832
90.4,163.9989
90.45,190.6761
90.5,214.3918
90.55,233.6565
90.6,247.1081
90.65,253.5923
90.7,253.5465
90.75,246.6933
90.8,233.8524
90.85,216.0444
90.9,195.6981
90.95,174.6132
91,155.2797
91.05,136.9902
91.1,120.4441
91.15,105.5624
91.2,92.15964
91.25,80.94958
91.3,72.99728
91.35,67.06626
91.4,62.05999
91.45,57.48392
91.5,52.4691
91.55,47.41663
91.6,42.96275
91.65,38.9138
91.7,35.62248
91.75,32.6679
91.8,29.39254
91.85,26.8515
91.9,24.44953
91.95,21.84932
92,19.66019
92.05,17.48348
92.1,15.46919
92.15,13.72223
92.2,12.28783
92.25,11.23723
92.3,10.08592
92.35,8.962916
92.4,7.831913
92.45,6.715018
92.5,5.67064
92.55,4.735953
92.6,3.961164
92.65,3.356025
92.7,2.87896
92.75,2.538355
92.8,2.382424
92.85,1.959477
92.9,1.617097
92.95,1.39958
93,0.9920502
93.05,0.3673708
93.1,-9.200133E-02
93.15,-0.3496681
93.2,-0.5501894
93.25,-0.8352654
93.3,-0.9639741
93.35,-1.053436
93.4,-1.37081
93.45,-1.675259
93.5,-1.746776
93.55,-1.779754
93.6,-1.859468
93.65,-1.847574
93.7,-1.60038
93.75,-0.9233134
93.8,7.115815E-02
93.85,1.95184
93.9,4.931448
93.95,9.666891
94,17.37006
94.05,27.90795
94.1,42.60206
94.15,59.46609
94.2,79.04308
94.25,100.9075
94.3,125.8206
94.35,152.4457
94.4,179.5631
94.45,204.3209
94.5,225.4154
94.55,242.7257
94.6,255.8291
94.65,264.1282
94.7,266.97
94.75,264.693
94.8,256.6274
94.85,242.1771
94.9,225.2354
94.95,207.8857
95,193.1874
95.05,178.7354
95.1,163.5089
95.15,149.2726
95.2,135.3162
95.25,120.5412
95.3,107.1196
95.35,95.29269
95.4,85.79933
95.45,77.21604
95.5,68.87853
95.55,61.79148
95.6,55.46396
95.65,48.91418
95.7,42.79435
95.75,37.501
95.8,33.4169
95.85,29.63783
95.9,25.90016
95.95,22.97862
96,19.90388
96.05,16.71027
96.1,13.79245
96.15,11.63349
96.2,10.11501
96.25,8.754524
96.3,7.762428
96.35,7.117189
96.4,6.38078
96.45,5.635002
96.5,5.056312
96.55,4.550487
96.6,3.879475
96.65,3.058764
96.7,2.381308
96.75,1.804086
96.8,1.286407
96.85,0.7366803
96.9,8.320608E-02
96.95,-0.6189166
97,-1.240982
97.05,-1.378025
97.1,-1.336152
97.15,-1.24098
97.2,-1.308087
97.25,-1.644299
97.3,-1.982011
97.35,-2.121892
97.4,-2.004124
97.45,-1.86577
97.5,-1.821618
97.55,-1.874086
97.6,-2.051381
97.65,-2.338645
97.7,-2.602965
97.75,-2.644996
97.8,-2.573511
97.85,-2.360953
97.9,-2.089244
97.95,-1.875849
98,-1.805893
98.05,-2.041231
98.1,-2.323712
98.15,-2.442693
98.2,-2.581419
98.25,-2.62556
98.3,-2.775787
98.35,-3.075419
98.4,-3.392483
98.45,-3.654716
98.5,-3.733609
98.55,-3.614835
98.6,-3.50842
98.65,-3.42069
98.7,-3.20853
98.75,-3.018762
98.8,-2.790812
98.85,-2.725492
98.9,-2.788376
98.95,-2.869586
99,-3.009048
99.05,-3.412102
99.1,-3.338702
99.15,-3.267462
99.2,-3.274139
99.25,-3.344915
99.3,-3.258637
99.35,-3.17027
99.4,-3.179434
99.45,-3.356685
99.5,-3.539848
99.55,-3.636965
99.6,-3.660589
99.65,-3.562084
99.7,-3.420349
99.75,-3.314777
99.8,-3.254131
99.85,-3.321765
99.9,-3.426244
99.95,-3.485296
100,-3.406265
100.05,-3.46448
100.1,-3.366269
100.15,-3.361039
100.2,-3.226503
100.25,-3.118618
100.3,-3.039499
100.35,-2.8185
100.4,-1.905272
100.45,0.3551029
100.5,4.959658
100.55,11.69204
100.6,20.30915
100.65,31.61473
100.7,45.75298
100.75,62.85927
100.8,83.7552
100.85,109.7896
100.9,140.0083
100.95,172.7696
101,205.4878
101.05,236.6152
101.1,264.5202
101.15,289.8101
101.2,312.442
101.25,327.2225
101.3,333.0368
101.35,331.9661
101.4,323.9768
101.45,311.7932
101.5,296.1767
101.55,277.5245
101.6,257.0903
101.65,234.8089
101.7,212.2852
101.75,192.0561
101.8,173.5151
101.85,156.5064
101.9,138.3462
101.95,120.3911
102,104.6316
102.05,90.29492
102.1,78.18819
102.15,68.18055
102.2,60.43164
102.25,52.97985
102.3,45.1333
102.35,38.47967
102.4,32.32254
102.45,26.74865
102.5,22.19504
102.55,18.35088
102.6,15.23205
102.65,12.95506
102.7,11.3877
102.75,10.66603
102.8,9.827634
102.85,8.744121
102.9,7.106033
102.95,5.327673
103,3.724457
103.05,3.393045
103.1,3.123945
103.15,2.705828
103.2,1.900564
103.25,0.5197118
103.3,-0.6637132
103.35,-1.384398
103.4,-1.565765
103.45,-1.336108
103.5,-1.226424
103.55,-1.24346
103.6,-0.809045
103.65,3.152937E-02
103.7,1.237656
103.75,3.810412
103.8,7.829474
103.85,13.59698
103.9,20.96141
103.95,31.09834
104,44.99672
104.05,64.39098
104.1,85.01638
104.15,106.358
104.2,131.612
104.25,160.9924
104.3,193.7317
104.35,228.5743
104.4,261.0829
104.45,288.6484
104.5,309.713
104.55,324.0756
104.6,334.7728
104.65,343.5785
104.7,347.2163
104.75,342.3369
104.8,329.0103
104.85,310.4674
104.9,288.8129
104.95,266.4966
105,243.249
105.05,220.7437
105.1,196.29
105.15,171.0648
105.2,147.252
105.25,127.3618
105.3,109.8488
105.35,95.49934
105.4,82.93703
105.45,72.02612
105.5,62.05839
105.55,52.8489
105.6,44.70961
105.65,37.67189
105.7,32.43626
105.75,28.35248
105.8,25.33799
105.85,23.01384
105.9,20.0964
105.95,17.3524
106,14.8448
106.05,12.61708
106.1,11.18902
106.15,9.40917
106.2,8.111341
106.25,7.547069
106.3,6.396381
106.35,5.535314
106.4,5.245505
106.45,5.099154
106.5,4.888645
106.55,4.432527
106.6,4.096897
106.65,4.183589
106.7,3.859023
106.75,2.988478
106.8,2.402633
106.85,1.966832
106.9,1.596753
106.95,2.250567
107,2.509146
107.05,2.626166
107.1,2.394416
107.15,1.790853
107.2,1.395485
107.25,1.242798
107.3,1.124812
107.35,0.7328653
107.4,1.216371E-02
107.45,-0.4535682
107.5,-0.5191612
107.55,-0.5352548
107.6,-0.4882416
107.65,-0.3137774
107.7,-0.2146779
107.75,-1.847149E-02
107.8,0.3112825
107.85,0.7495314
107.9,1.28617
107.95,1.179815
108,1.11471
108.05,0.7234923
108.1,0.5608131
108.15,0.4758847
108.2,0.6853191
108.25,0.9545158
108.3,1.174806
108.35,0.5501342
108.4,-0.2404135
108.45,-0.894474
108.5,-1.361229
108.55,-1.729657
108.6,-1.6852
108.65,-0.8706266
108.7,3.108512E-02
108.75,0.6603518
108.8,1.27934
108.85,2.729647
108.9,5.01044
108.95,7.706336
109,11.16297
109.05,17.99727
109.1,25.46329
109.15,34.75034
109.2,47.13097
109.25,63.48814
109.3,82.84766
109.35,103.6716
109.4,127.9477
109.45,154.3935
109.5,182.3623
109.55,211.6346
109.6,239.1221
109.65,262.2555
109.7,280.3599
109.75,293.9676
109.8,306.3195
109.85,311.5605
109.9,314.3508
109.95,315.0252
110,309.3345
110.05,299.1701
110.1,286.2356
110.15,271.1795
110.2,258.0704
110.25,241.6206
110.3,223.0609
110.35,202.1571
110.4,181.3036
110.45,162.5283
110.5,146.6579
110.55,132.9152
110.6,120.9461
110.65,108.9062
110.7,93.6674
110.75,78.71134
110.8,66.82094
110.85,58.05634
110.9,50.74463
110.95,44.95098
111,38.69842
111.05,34.45001
111.1,29.04054
111.15,24.17478
111.2,19.65711
111.25,16.98875
111.3,14.35674
111.35,12.76882
111.4,11.36643
111.45,9.762533
111.5,8.070799
111.55,6.451439
111.6,5.30947
111.65,4.575569
111.7,3.735735
111.75,2.709773
111.8,1.691352
111.85,0.4749153
111.9,0.2200355
111.95,1.175593
112,2.554492
112.05,5.533902
112.1,10.2419
112.15,13.92401
112.2,19.71847
112.25,28.02194
112.3,36.56667
112.35,46.1007
112.4,54.89794
112.45,64.48359
112.5,76.21719
112.55,89.56675
112.6,105.0397
112.65,121.5297
112.7,135.3468
112.75,146.379
112.8,155.68
112.85,161.3908
112.9,167.4899
112.95,171.574
113,175.33
113.05,174.3161
113.1,171.6117
113.15,167.6943
113.2,162.199
113.25,153.2196
113.3,139.8916
113.35,126.1038
113.4,112.7654
113.45,99.71023
113.5,89.3315
113.55,80.9229
113.6,72.36635
113.65,63.94259
113.7,55.88823
113.75,49.47081
113.8,44.15673
113.85,37.9731
113.9,32.14928
113.95,26.74723
114,21.71363
114.05,17.74742
114.1,14.67612
114.15,12.89509
114.2,11.28034
114.25,9.924342
114.3,9.132343
114.35,9.072082
114.4,9.21199
114.45,9.467169
114.5,9.738168
114.55,9.148802
114.6,7.061984
114.65,4.033567
114.7,1.398594
114.75,3.287501E-02
114.8,-0.7220166
114.85,-0.7487571
114.9,-0.5225586
114.95,-0.875892
115,-1.291639
115.05,-1.409407
115.1,-1.013973
115.15,-0.4161797
115.2,-0.353966
115.25,-0.7838796
115.3,-1.475282
115.35,-1.671369
115.4,-1.79099
115.45,-1.882661
115.5,-1.566849
115.55,-1.163071
115.6,-1.114367
115.65,-1.380989
115.7,-1.749889
115.75,-1.824208
115.8,-1.853993
115.85,-2.28538
115.9,-2.072431
115.95,-1.867529
116,-1.917198
116.05,-2.180504
116.1,-2.563703
116.15,-2.43769
116.2,-2.422055
116.25,-2.853627
116.3,-3.560506
116.35,-4.179582
116.4,-4.675405
116.45,-4.923874
116.5,-4.77525
116.55,-4.502025
116.6,-4.403006
116.65,-4.564119
116.7,-4.993777
116.75,-5.296932
116.8,-5.325924
116.85,-5.469571
116.9,-5.642559
116.95,-5.839077
117,-6.017841
117.05,-6.013389
117.1,-6.025304
117.15,-5.807385
117.2,-5.585529
117.25,-5.687955
117.3,-5.747912
117.35,-5.57818
117.4,-5.377528
117.45,-5.380376
117.5,-5.520191
117.55,-5.737625
117.6,-5.995623
117.65,-6.218658
117.7,-6.241016
117.75,-5.802333
117.8,-5.479912
117.85,-5.469153
117.9,-5.696028
117.95,-5.873112
118,-6.05318
118.05,-6.11464
118.1,-6.206724
118.15,-6.123935
118.2,-6.305199
118.25,-6.242279
118.3,-6.105148
118.35,-5.621638
118.4,-5.23778
118.45,-5.20574
118.5,-5.448177
118.55,-5.826709
118.6,-6.228036
118.65,-6.422495
118.7,-6.281158
118.75,-6.156232
118.8,-6.037139
118.85,-6.237325
118.9,-6.358801
118.95,-6.293622
119,-6.326594
119.05,-6.196052
119.1,-6.003831
119.15,-6.195547
119.2,-6.168654
119.25,-6.186234
119.3,-6.264602
119.35,-6.192657
119.4,-6.187007
119.45,-6.207143
119.5,-6.158674
119.55,-6.098755
119.6,-5.99269
119.65,-5.961393
119.7,-6.18442
119.75,-6.353364
119.8,-6.483371
119.85,-6.626741
119.9,-6.665182
119.95,-6.651759
120,-6.722386
120.05,-6.646788
120.1,-6.660217
120.15,-6.522463
120.2,-6.3731
120.25,-6.347961
120.3,-6.3491
120.35,-6.115713
120.4,-5.928406
120.45,-5.910093
120.5,-6.03109
120.55,-6.237581
120.6,-6.452691
120.65,-6.633549
120.7,-6.677242
120.75,-6.518011
120.8,-6.374588
120.85,-6.366542
120.9,-6.310522
120.95,-6.352816
121,-6.384746
121.05,-6.506876
121.1,-6.578704
121.15,-6.526013
121.2,-6.456799
121.25,-6.313886
121.3,-6.285932
121.35,-6.401504
121.4,-6.579459
121.45,-6.746483
121.5,-6.81569
121.55,-6.780149
121.6,-6.720543
121.65,-6.623041
121.7,-6.472629
121.75,-6.385326
121.8,-6.246524
121.85,-6.088925
121.9,-5.991364
121.95,-5.86898
122,-5.900142
122.05,-6.066194
122.1,-6.204469
122.15,-6.482462
122.2,-6.660237
122.25,-6.739032
122.3,-6.748169
122.35,-6.681779
122.4,-6.672977
122.45,-6.695667
122.5,-6.616757
122.55,-6.493156
122.6,-6.412209
122.65,-6.371097
122.7,-6.423593
122.75,-6.538015
122.8,-6.613637
122.85,-6.655134
122.9,-6.6615
122.95,-6.592492
123,-6.634378
123.05,-6.565631
123.1,-6.529429
123.15,-6.488296
123.2,-6.479953
123.25,-6.577784
123.3,-6.612088
123.35,-6.521167
123.4,-6.411834
123.45,-6.255052
123.5,-6.090083
123.55,-6.049498
123.6,-6.08436
123.65,-6.081259
123.7,-6.088748
123.75,-6.15536
123.8,-6.285138
123.85,-6.36412
123.9,-6.491807
123.95,-6.512075
124,-6.596514
124.05,-6.601021
124.1,-6.560231
124.15,-6.565391
124.2,-6.524837
124.25,-6.413992
124.3,-6.345159
124.35,-6.326069
124.4,-6.503386
124.45,-6.595311
124.5,-6.540143
124.55,-6.513583
124.6,-6.525663
124.65,-6.528616
124.7,-6.539219
124.75,-6.609077
124.8,-6.70109
124.85,-6.695993
124.9,-6.390172
124.95,-6.419199
125,-6.423736
125.05,-6.504666
125.1,-6.61233
125.15,-6.659078
125.2,-6.618145
125.25,-6.485722
125.3,-6.33256
125.35,-6.299094
125.4,-6.303043
125.45,-6.342515
125.5,-6.424981
125.55,-6.491769
125.6,-6.522885
125.65,-6.540326
125.7,-6.561775
125.75,-6.548796
125.8,-6.407355
125.85,-6.306634
125.9,-6.219977
125.95,-6.234552
126,-6.301397
126.05,-6.393758
126.1,-6.509343
126.15,-6.539215
126.2,-6.483574
126.25,-6.475147
126.3,-6.495401
126.35,-6.545791
126.4,-6.500403
126.45,-6.427554
126.5,-6.419963
126.55,-6.461874
126.6,-6.549732
126.65,-6.692546
126.7,-6.811344
126.75,-6.815239
126.8,-6.768392
126.85,-6.688447
126.9,-6.620662
126.95,-6.524272
127,-6.548534
127.05,-6.61358
127.1,-6.618995
127.15,-6.553359
127.2,-6.563643
127.25,-6.649784
127.3,-6.638979
127.35,-6.585442
127.4,-6.509063
127.45,-6.382156
127.5,-6.28469
127.55,-6.299096
127.6,-6.411325
127.65,-6.570379
127.7,-6.699425
127.75,-6.736018
127.8,-6.722797
127.85,-6.64073
127.9,-6.671766
127.95,-6.752592
128,-6.647919
128.05,-6.48217
128.1,-6.398206
128.15,-6.386281
128.2,-6.343051
128.25,-6.451862
128.3,-6.473975
128.35,-6.456629
128.4,-6.399784
128.45,-6.391571
128.5,-6.470732
128.55,-6.602543
128.6,-6.698053
128.65,-6.730723
128.7,-6.746333
128.75,-6.675045
128.8,-6.673261
128.85,-6.648577
128.9,-6.69878
128.95,-6.834386
129,-7.021698
129.05,-7.110414
129.1,-7.197258
129.15,-7.192762
129.2,-7.096781
129.25,-6.950059
129.3,-6.872833
129.35,-6.887762
129.4,-6.924362
129.45,-6.944459
129.5,-6.974389
129.55,-7.007137
129.6,-7.010379
129.65,-6.992441
129.7,-6.973209
129.75,-6.953696
129.8,-6.912179
129.85,-6.842206
129.9,-6.821607
129.95,-6.81355
130,-6.807388
130.05,-6.872175
130.1,-6.963332
130.15,-6.862656
130.2,-6.794889
130.25,-6.783371
130.3,-6.822621
130.35,-6.896623
130.4,-6.992214
130.45,-7.100127
130.5,-7.124573
130.55,-7.021765
130.6,-6.95683
130.65,-6.989967
130.7,-6.96775
130.75,-6.945067
130.8,-6.968597
130.85,-7.013617
130.9,-7.064235
130.95,-7.053147
131,-7.042114
131.05,-7.129424
131.1,-7.098686
131.15,-7.055298
131.2,-7.090106
131.25,-7.078976
131.3,-7.015036
131.35,-6.967299
131.4,-6.97266
131.45,-7.034752
131.5,-7.103027
131.55,-7.164432
131.6,-7.24353
131.65,-7.317722
131.7,-7.375971
131.75,-7.429112
131.8,-7.383792
131.85,-7.229251
131.9,-7.098252
131.95,-7.009284
132,-6.996048
132.05,-7.095402
132.1,-7.22288
132.15,-7.293949
132.2,-7.333134
132.25,-7.277783
132.3,-7.219016
132.35,-7.148329
132.4,-7.136927
132.45,-7.160271
132.5,-7.171623
132.55,-7.224757
132.6,-7.241889
132.65,-7.090747
132.7,-6.902606
132.75,-6.845209
132.8,-6.896988
132.85,-6.860744
132.9,-6.918343
132.95,-7.04081
133,-7.158112
133.05,-6.872181
133.1,-6.795084
133.15,-6.845352
133.2,-6.885676
133.25,-6.937446
133.3,-7.123776
133.35,-7.327597
133.4,-7.431853
133.45,-7.410556
133.5,-7.409955
133.55,-7.3996
133.6,-7.307096
133.65,-7.240393
133.7,-7.228441
133.75,-7.28022
133.8,-7.395773
133.85,-7.548079
133.9,-7.655523
133.95,-7.716978
134,-7.671875
134.05,-7.592145
134.1,-7.530919
134.15,-7.419484
134.2,-7.407855
134.25,-7.43719
134.3,-7.440949
134.35,-7.4378
134.4,-7.426025
134.45,-7.420907
134.5,-7.436314
134.55,-7.444387
134.6,-7.501147
134.65,-7.590858
134.7,-7.570449
134.75,-7.511797
134.8,-7.409173
134.85,-7.385798
134.9,-7.290627
134.95,-7.2602
135,-7.236206
135.05,-7.259469
135.1,-7.21196
135.15,-7.235729
135.2,-7.254363
135.25,-7.359729
135.3,-7.383372
135.35,-7.420313
135.4,-7.404382
135.45,-7.381909
135.5,-7.398296
135.55,-7.452289
135.6,-7.504608
135.65,-7.516265
135.7,-7.504653
135.75,-7.445691
135.8,-7.43035
135.85,-7.402773
135.9,-7.38871
135.95,-7.451062
136,-7.536469
136.05,-7.591138
136.1,-7.632009
136.15,-7.644558
136.2,-7.629463
136.25,-7.544289
136.3,-7.486553
136.35,-7.553831
136.4,-7.616281
136.45,-7.644629
136.5,-7.709724
136.55,-7.782395
136.6,-7.7974
136.65,-7.767274
136.7,-7.72758
136.75,-7.699357
136.8,-7.672956
136.85,-7.597517
136.9,-7.615119
136.95,-7.642286
137,-7.58847
137.05,-7.607877
137.1,-7.602558
137.15,-7.566116
137.2,-7.548231
137.25,-7.53316
137.3,-7.581302
137.35,-7.62008
137.4,-7.639673
137.45,-7.631148
137.5,-7.607974
137.55,-7.579824
137.6,-7.534348
137.65,-7.519485
137.7,-7.578557
137.75,-7.636342
137.8,-7.678873
137.85,-7.736595
137.9,-7.751359
137.95,-7.827523
138,-7.764008
 
Alignment,On
