Data File Name,nextera_jlc_High Sensitivity DNA Assay_DE24802700_2018-01-10_12-11-58.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Wednesday, January 10, 2018 8:11:58 PM",,
Date Last Modified,"Tuesday, January 16, 2018 7:11:05 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.1349411,5,1184
32.05,-0.1349411,,
32.1,-0.1349411,,
32.15,-0.1349411,,
32.2,-0.1349411,,
32.25,-0.1349411,,
32.3,-0.1349411,,
32.35,-9.74E-02,,
32.4,-6.10E-02,,
32.45,-5.92E-02,,
32.5,-7.86E-02,,
32.55,-0.1293478,,
32.6,-0.1772179,,
32.65,-0.1544055,,
32.7,-7.67E-02,,
32.75,3.56E-02,,
32.8,0.1113667,,
32.85,9.90E-02,,
32.9,3.50E-02,,
32.95,5.07E-03,,
33,-4.47E-02,,
33.05,-2.25E-02,,
33.1,3.72E-02,,
33.15,0.1030248,,
33.2,0.1513009,,
33.25,0.1600133,,
33.3,0.1118246,,
33.35,0.0639943,,
33.4,3.48E-03,,
33.45,-5.27E-02,,
33.5,-6.89E-02,,
33.55,-6.44E-02,,
33.6,-8.05E-02,,
33.65,-0.1344049,,
33.7,-0.1869879,,
33.75,-0.2020401,,
33.8,-0.2342934,,
33.85,-0.2705624,,
33.9,-0.2638286,,
33.95,-0.2284585,,
34,-0.1990537,,
34.05,-0.1930558,,
34.1,-0.231911,,
34.15,-0.2360765,,
34.2,-0.2388834,,
34.25,-0.250984,,
34.3,-0.2374969,,
34.35,-0.1770594,,
34.4,-0.1058839,,
34.45,-0.1039918,,
34.5,-0.1506299,,
34.55,-0.2527993,,
34.6,-0.3161374,,
34.65,-0.3753583,,
34.7,-0.4084152,,
34.75,-0.39952,,
34.8,-0.364383,,
34.85,-0.335553,,
34.9,-0.3313608,,
34.95,-0.3034789,,
35,-0.3246868,,
35.05,-0.3292361,,
35.1,-0.3427186,,
35.15,-0.379046,,
35.2,-0.4088152,,
35.25,-0.4420621,,
35.3,-0.4082156,,
35.35,-0.3798921,,
35.4,-0.3107521,,
35.45,-0.2525546,,
35.5,-0.2074759,,
35.55,-0.1661603,,
35.6,-0.1563834,,
35.65,-0.2181967,,
35.7,-0.268827,,
35.75,-0.295337,,
35.8,-0.3149433,,
35.85,-0.3062218,,
35.9,-0.2954261,,
35.95,-0.2991835,,
36,-0.2711791,,
36.05,-0.2768257,,
36.1,-0.2816246,,
36.15,-0.227574,,
36.2,-0.1894377,,
36.25,-0.1758103,,
36.3,-0.1845062,,
36.35,-0.209829,,
36.4,-0.2205309,,
36.45,-0.2735561,,
36.5,-0.3036363,,
36.55,-0.2742415,,
36.6,-0.247547,,
36.65,-0.2643886,,
36.7,-0.3102004,,
36.75,-0.3406908,,
36.8,-0.3521473,,
36.85,-0.2886502,,
36.9,-0.237368,,
36.95,-0.1785981,,
37,-0.1519063,,
37.05,-0.1755274,,
37.1,-0.2363364,,
37.15,-0.3069201,,
37.2,-0.3706938,,
37.25,-0.3778355,,
37.3,-0.3639818,,
37.35,-0.3973719,,
37.4,-0.4474634,,
37.45,-0.4766805,,
37.5,-0.4813567,,
37.55,-0.4831566,,
37.6,-0.4567189,,
37.65,-0.464105,,
37.7,-0.4496739,,
37.75,-0.4416294,,
37.8,-0.4409339,,
37.85,-0.4327246,,
37.9,-0.4087213,,
37.95,-0.3824648,,
38,-0.3539261,,
38.05,-0.2733074,,
38.1,-0.1415479,,
38.15,2.63E-02,,
38.2,0.2104306,,
38.25,0.3469593,,
38.3,0.3501874,,
38.35,0.2216156,,
38.4,2.37E-02,,
38.45,-0.181678,,
38.5,-0.3313619,,
38.55,-0.3959374,,
38.6,-0.4118787,,
38.65,-0.4145771,,
38.7,-0.3990488,,
38.75,-0.4267306,,
38.8,-0.4365382,,
38.85,-0.4556066,,
38.9,-0.4520819,,
38.95,-0.4053271,,
39,-0.3464511,,
39.05,-0.3134462,,
39.1,-0.292513,,
39.15,-0.3110686,,
39.2,-0.3813724,,
39.25,-0.4079553,,
39.3,-0.4375787,,
39.35,-0.4626952,,
39.4,-0.4831827,,
39.45,-0.5094036,,
39.5,-0.5029256,,
39.55,-0.4731067,,
39.6,-0.5004532,,
39.65,-0.5056036,,
39.7,-0.4783046,,
39.75,-0.4413748,,
39.8,-0.4215183,,
39.85,-0.4347768,,
39.9,-0.4937692,,
39.95,-0.4533951,,
40,-0.4436915,,
40.05,-0.4463352,,
40.1,-0.463998,,
40.15,-0.4935257,,
40.2,-0.5110812,,
40.25,-0.4863651,,
40.3,-0.4581453,,
40.35,-0.4557481,,
40.4,-0.4477433,,
40.45,-0.444436,,
40.5,-0.4545875,,
40.55,-0.4675596,,
40.6,-0.4520831,,
40.65,-0.3773507,,
40.7,-0.2922185,,
40.75,-0.2711622,,
40.8,-0.2784931,,
40.85,-0.2203847,,
40.9,-0.1356376,,
40.95,-0.1054543,,
41,-0.1490411,,
41.05,-0.1766228,,
41.1,-0.1817181,,
41.15,-0.2182888,,
41.2,-0.2552044,,
41.25,-0.2823291,,
41.3,-0.2892768,,
41.35,-0.2999744,,
41.4,-0.3446503,,
41.45,-0.3156497,,
41.5,-0.2926247,,
41.55,-0.2442752,,
41.6,-0.2500924,,
41.65,-0.2739688,,
41.7,-0.2909453,,
41.75,-0.2903892,,
41.8,-0.2423503,,
41.85,-0.1237047,,
41.9,-4.64E-02,,
41.95,-1.83E-02,,
42,-1.94E-02,,
42.05,-6.64E-02,,
42.1,-0.1400964,,
42.15,-0.1978126,,
42.2,-0.2319009,,
42.25,-0.1971841,,
42.3,-0.1032644,,
42.35,0.0682499,,
42.4,0.4350078,,
42.45,1.102186,,
42.5,2.339323,,
42.55,4.561184,,
42.6,8.067168,,
42.65,13.61341,,
42.7,21.27348,,
42.75,30.64346,,
42.8,41.04152,,
42.85,51.3524,,
42.9,60.19778,,
42.95,66.2289,,
43,68.48964,,
43.05,65.76548,,
43.1,59.55615,,
43.15,50.93554,,
43.2,41.22321,,
43.25,31.60044,,
43.3,22.94788,,
43.35,15.80863,,
43.4,10.41769,,
43.45,6.831292,,
43.5,4.448864,,
43.55,2.963852,,
43.6,2.086244,,
43.65,1.59262,,
43.7,1.323041,,
43.75,1.143154,,
43.8,1.010168,,
43.85,0.9015666,,
43.9,0.8163636,,
43.95,0.6925887,,
44,0.5599106,,
44.05,0.4489121,,
44.1,0.3584695,,
44.15,0.3479645,,
44.2,0.4048493,,
44.25,0.4251937,,
44.3,0.3990458,,
44.35,0.3396624,,
44.4,0.2615854,,
44.45,0.1804502,,
44.5,0.1158618,,
44.55,8.52E-02,,
44.6,0.1214156,,
44.65,0.1866713,,
44.7,0.239269,,
44.75,0.2785894,,
44.8,0.2951359,,
44.85,0.2915624,,
44.9,0.3061677,,
44.95,0.2752242,,
45,0.3185331,,
45.05,0.3927789,,
45.1,0.4716543,,
45.15,0.5348375,,
45.2,0.5994138,,
45.25,0.6971623,,
45.3,0.8190063,,
45.35,1.019103,,
45.4,1.191604,,
45.45,1.415196,,
45.5,1.610388,,
45.55,1.746749,,
45.6,1.84537,,
45.65,1.939051,,
45.7,2.036588,,
45.75,2.123627,,
45.8,2.243535,,
45.85,2.427823,,
45.9,2.614714,,
45.95,2.796469,,
46,2.988473,,
46.05,3.169086,,
46.1,3.320369,,
46.15,3.438486,,
46.2,3.474125,,
46.25,3.448313,,
46.3,3.350202,,
46.35,3.16745,,
46.4,2.931149,,
46.45,2.71779,,
46.5,2.424929,,
46.55,2.106528,,
46.6,1.792521,,
46.65,1.490871,,
46.7,1.22665,,
46.75,1.003557,,
46.8,0.8150874,,
46.85,0.6943002,,
46.9,0.5515027,,
46.95,0.4087906,,
47,0.2843992,,
47.05,0.1812388,,
47.1,0.1130079,,
47.15,7.55E-02,,
47.2,4.29E-02,,
47.25,2.37E-02,,
47.3,6.01E-02,,
47.35,9.10E-02,,
47.4,0.1322692,,
47.45,0.1590174,,
47.5,0.1976237,,
47.55,0.2775311,,
47.6,0.3569863,,
47.65,0.3430888,,
47.7,0.3333796,,
47.75,0.3535318,,
47.8,0.3719521,,
47.85,0.3827156,,
47.9,0.3757637,,
47.95,0.3362685,,
48,0.2676662,,
48.05,0.2125551,,
48.1,0.1559653,,
48.15,0.1703689,,
48.2,0.1957079,,
48.25,0.2203283,,
48.3,0.2296979,,
48.35,0.1924903,,
48.4,0.122355,,
48.45,0.115971,,
48.5,0.1907586,,
48.55,0.2350845,,
48.6,0.2980793,,
48.65,0.3611704,,
48.7,0.380311,,
48.75,0.3574679,,
48.8,0.3248557,,
48.85,0.3120221,,
48.9,0.2607314,,
48.95,0.1939852,,
49,0.157572,,
49.05,0.1539963,,
49.1,0.1423175,,
49.15,8.88E-02,,
49.2,7.58E-02,,
49.25,7.51E-02,,
49.3,4.38E-02,,
49.35,-2.06E-02,,
49.4,-7.02E-02,,
49.45,-8.89E-02,,
49.5,-0.1073113,,
49.55,-0.1568635,,
49.6,-0.2090482,,
49.65,-0.2553623,,
49.7,-0.3474123,,
49.75,-0.4469283,,
49.8,-0.5143446,,
49.85,-0.53052,,
49.9,-0.5102125,,
49.95,-0.5083213,,
50,-0.4851237,,
50.05,-0.4995176,,
50.1,-0.5317861,,
50.15,-0.5743806,,
50.2,-0.5931664,,
50.25,-0.5751726,,
50.3,-0.5556207,,
50.35,-0.5468723,,
50.4,-0.5076733,,
50.45,-0.4808365,,
50.5,-0.4667154,,
50.55,-0.4661895,,
50.6,-0.4873474,,
50.65,-0.5207916,,
50.7,-0.52956,,
50.75,-0.5570491,,
50.8,-0.5462049,,
50.85,-0.5583088,,
50.9,-0.5534827,,
50.95,-0.4951173,,
51,-0.4065019,,
51.05,-0.3373086,,
51.1,-0.2765508,,
51.15,-0.2321649,,
51.2,-0.2602051,,
51.25,-0.2941433,,
51.3,-0.3253126,,
51.35,-0.3455465,,
51.4,-0.3554176,,
51.45,-0.3715286,,
51.5,-0.4147416,,
51.55,-0.4327034,,
51.6,-0.4766175,,
51.65,-0.4825111,,
51.7,-0.4732917,,
51.75,-0.4928232,,
51.8,-0.5284683,,
51.85,-0.5029808,,
51.9,-0.4343525,,
51.95,-0.369628,,
52,-0.3175814,,
52.05,-0.324802,,
52.1,-0.3403925,,
52.15,-0.3469853,,
52.2,-0.3621771,,
52.25,-0.3732107,,
52.3,-0.357068,,
52.35,-0.3548238,,
52.4,-0.348979,,
52.45,-0.3862616,,
52.5,-0.4215478,,
52.55,-0.4185034,,
52.6,-0.3864764,,
52.65,-0.3319975,,
52.7,-0.3010095,,
52.75,-0.2916918,,
52.8,-0.2328614,,
52.85,-0.1630506,,
52.9,-8.15E-02,,
52.95,1.39E-02,,
53,8.99E-02,,
53.05,0.1119126,,
53.1,8.18E-02,,
53.15,-1.63E-02,,
53.2,-0.1137314,,
53.25,-0.1637991,,
53.3,-0.1611817,,
53.35,-0.1338633,,
53.4,-0.1176227,,
53.45,-0.1213558,,
53.5,-0.1692583,,
53.55,-0.1459855,,
53.6,-0.1042383,,
53.65,-4.80E-02,,
53.7,-3.89E-03,,
53.75,-0.0130611,,
53.8,-7.27E-02,,
53.85,-0.1308503,,
53.9,-0.1699271,,
53.95,-0.156898,,
54,-0.0563994,,
54.05,2.77E-02,,
54.1,2.75E-02,,
54.15,-2.80E-02,,
54.2,-0.1205226,,
54.25,-0.2080852,,
54.3,-0.2023618,,
54.35,-0.1737366,,
54.4,-0.1217721,,
54.45,-0.0910569,,
54.5,-0.1110112,,
54.55,-0.1482681,,
54.6,-0.1619434,,
54.65,-0.138978,,
54.7,-9.24E-02,,
54.75,-8.24E-02,,
54.8,-0.1175599,,
54.85,-0.1746924,,
54.9,-0.234738,,
54.95,-0.2939232,,
55,-0.273416,,
55.05,-0.2627464,,
55.1,-0.3073589,,
55.15,-0.3583066,,
55.2,-0.4175627,,
55.25,-0.4419175,,
55.3,-0.3843101,,
55.35,-0.3087564,,
55.4,-0.2721858,,
55.45,-0.2153682,,
55.5,-0.2209194,,
55.55,-0.3039503,,
55.6,-0.3761908,,
55.65,-0.3987306,,
55.7,-0.4019435,,
55.75,-0.3282007,,
55.8,-0.2732261,,
55.85,-0.2037185,,
55.9,-0.1572043,,
55.95,-0.1634824,,
56,-0.2283787,,
56.05,-0.3119653,,
56.1,-0.3528965,,
56.15,-0.3791321,,
56.2,-0.3593619,,
56.25,-0.3493676,,
56.3,-0.3397109,,
56.35,-0.3450963,,
56.4,-0.3536766,,
56.45,-0.3621344,,
56.5,-0.4011834,,
56.55,-0.356113,,
56.6,-0.2821815,,
56.65,-0.2232704,,
56.7,-0.1934295,,
56.75,-0.2108895,,
56.8,-0.2510101,,
56.85,-0.2792757,,
56.9,-0.3283261,,
56.95,-0.3824474,,
57,-0.426806,,
57.05,-0.4256123,,
57.1,-0.3567758,,
57.15,-0.2928025,,
57.2,-0.2691082,,
57.25,-0.2396919,,
57.3,-0.2015308,,
57.35,-0.1494888,,
57.4,-0.0898537,,
57.45,-5.83E-02,,
57.5,-3.32E-02,,
57.55,-4.05E-02,,
57.6,-0.1042549,,
57.65,-0.178409,,
57.7,-0.1577755,,
57.75,-7.11E-02,,
57.8,7.65E-02,,
57.85,0.1852123,,
57.9,0.2230614,,
57.95,0.2187093,,
58,0.1973919,,
58.05,0.1370557,,
58.1,0.1360526,,
58.15,0.2353202,,
58.2,0.3472847,,
58.25,0.4197512,,
58.3,0.4450729,,
58.35,0.4398028,,
58.4,0.4375381,,
58.45,0.4854708,,
58.5,0.499427,,
58.55,0.5578824,,
58.6,0.6460816,,
58.65,0.7172633,,
58.7,0.7693054,,
58.75,0.8042457,,
58.8,0.8069372,,
58.85,0.792031,,
58.9,0.803762,,
58.95,0.8286013,,
59,0.8328388,,
59.05,0.8736672,,
59.1,0.9520052,,
59.15,1.038589,,
59.2,1.125189,,
59.25,1.157001,,
59.3,1.22319,,
59.35,1.342607,,
59.4,1.368877,,
59.45,1.365027,,
59.5,1.383845,,
59.55,1.42566,,
59.6,1.504049,,
59.65,1.557038,,
59.7,1.650074,,
59.75,1.780565,,
59.8,1.888976,,
59.85,1.956714,,
59.9,2.026344,,
59.95,2.138394,,
60,2.229583,,
60.05,2.40134,,
60.1,2.561372,,
60.15,2.754468,,
60.2,2.861413,,
60.25,2.874936,,
60.3,2.864488,,
60.35,2.894587,,
60.4,3.006222,,
60.45,3.264812,,
60.5,3.611436,,
60.55,3.954615,,
60.6,4.242867,,
60.65,4.435188,,
60.7,4.544494,,
60.75,4.661252,,
60.8,4.837486,,
60.85,5.009326,,
60.9,5.162019,,
60.95,5.261157,,
61,5.358988,,
61.05,5.474903,,
61.1,5.594856,,
61.15,5.740829,,
61.2,5.873889,,
61.25,6.077507,,
61.3,6.35418,,
61.35,6.62683,,
61.4,6.892339,,
61.45,7.153163,,
61.5,7.386463,,
61.55,7.59641,,
61.6,7.829193,,
61.65,8.013918,,
61.7,8.176253,,
61.75,8.300498,,
61.8,8.426016,,
61.85,8.54733,,
61.9,8.597247,,
61.95,8.685923,,
62,8.833519,,
62.05,8.932204,,
62.1,9.091939,,
62.15,9.253503,,
62.2,9.471413,,
62.25,9.799392,,
62.3,10.10079,,
62.35,10.28097,,
62.4,10.57771,,
62.45,10.73848,,
62.5,10.8667,,
62.55,11.0559,,
62.6,11.2674,,
62.65,11.43927,,
62.7,11.67992,,
62.75,11.85597,,
62.8,12.00125,,
62.85,12.09451,,
62.9,12.14821,,
62.95,12.25803,,
63,12.4415,,
63.05,12.6172,,
63.1,12.79633,,
63.15,12.87059,,
63.2,12.97457,,
63.25,13.03101,,
63.3,13.10412,,
63.35,13.23438,,
63.4,13.45897,,
63.45,13.79659,,
63.5,14.02758,,
63.55,14.28503,,
63.6,14.50577,,
63.65,14.84104,,
63.7,15.22466,,
63.75,15.63436,,
63.8,16.10526,,
63.85,16.60832,,
63.9,16.9828,,
63.95,17.35508,,
64,17.94912,,
64.05,18.55801,,
64.1,19.00743,,
64.15,19.18474,,
64.2,19.06294,,
64.25,18.73729,,
64.3,18.38102,,
64.35,18.15768,,
64.4,18.17917,,
64.45,18.29078,,
64.5,18.34477,,
64.55,18.29075,,
64.6,18.1929,,
64.65,18.18734,,
64.7,18.32438,,
64.75,18.44641,,
64.8,18.59063,,
64.85,18.64404,,
64.9,18.58998,,
64.95,18.48996,,
65,18.38576,,
65.05,18.26254,,
65.1,18.0835,,
65.15,17.88926,,
65.2,17.67612,,
65.25,17.57567,,
65.3,17.5537,,
65.35,17.51254,,
65.4,17.53745,,
65.45,17.5901,,
65.5,17.57516,,
65.55,17.41305,,
65.6,17.2668,,
65.65,17.08938,,
65.7,16.91508,,
65.75,16.89736,,
65.8,17.04614,,
65.85,17.45745,,
65.9,18.05255,,
65.95,18.49048,,
66,18.77459,,
66.05,18.94826,,
66.1,19.0318,,
66.15,19.0598,,
66.2,19.19105,,
66.25,19.48122,,
66.3,19.75125,,
66.35,19.75428,,
66.4,19.50575,,
66.45,19.14505,,
66.5,18.78641,,
66.55,18.45156,,
66.6,18.2377,,
66.65,18.30932,,
66.7,18.3651,,
66.75,18.21652,,
66.8,17.97626,,
66.85,17.79481,,
66.9,17.77369,,
66.95,17.98562,,
67,18.21877,,
67.05,18.41165,,
67.1,18.57006,,
67.15,18.60152,,
67.2,18.53879,,
67.25,18.48268,,
67.3,18.48681,,
67.35,18.46938,,
67.4,18.63567,,
67.45,18.69452,,
67.5,18.81753,,
67.55,18.85136,,
67.6,18.75696,,
67.65,18.61098,,
67.7,18.48571,,
67.75,18.33727,,
67.8,17.89533,,
67.85,17.59177,,
67.9,17.31299,,
67.95,17.07331,,
68,16.83936,,
68.05,16.63933,,
68.1,16.62001,,
68.15,16.48467,,
68.2,16.2538,,
68.25,15.9518,,
68.3,15.75827,,
68.35,15.58379,,
68.4,15.44512,,
68.45,15.41152,,
68.5,15.29162,,
68.55,15.07609,,
68.6,14.72413,,
68.65,14.43753,,
68.7,14.2376,,
68.75,14.12076,,
68.8,14.04632,,
68.85,13.98096,,
68.9,14.00808,,
68.95,13.90932,,
69,13.81861,,
69.05,13.82845,,
69.1,13.81337,,
69.15,13.68751,,
69.2,13.4707,,
69.25,13.25734,,
69.3,13.11841,,
69.35,13.0537,,
69.4,13.07735,,
69.45,13.16358,,
69.5,13.24775,,
69.55,13.20329,,
69.6,13.0041,,
69.65,12.84323,,
69.7,12.75647,,
69.75,12.71251,,
69.8,12.70749,,
69.85,12.73286,,
69.9,12.76939,,
69.95,12.76985,,
70,12.67624,,
70.05,12.47227,,
70.1,12.29966,,
70.15,12.10888,,
70.2,12.13388,,
70.25,12.25534,,
70.3,12.42958,,
70.35,12.6475,,
70.4,12.85184,,
70.45,12.93202,,
70.5,12.88389,,
70.55,12.827,,
70.6,12.81972,,
70.65,12.81666,,
70.7,12.77156,,
70.75,12.7322,,
70.8,12.8266,,
70.85,13.01437,,
70.9,13.05953,,
70.95,13.08152,,
71,13.10517,,
71.05,13.18991,,
71.1,13.27772,,
71.15,13.28917,,
71.2,13.29208,,
71.25,13.33463,,
71.3,13.35426,,
71.35,13.44044,,
71.4,13.60282,,
71.45,13.85984,,
71.5,14.12456,,
71.55,14.25951,,
71.6,14.27827,,
71.65,14.24755,,
71.7,14.42637,,
71.75,14.65959,,
71.8,14.78719,,
71.85,14.81164,,
71.9,14.78825,,
71.95,14.71999,,
72,14.58518,,
72.05,14.74729,,
72.1,14.85778,,
72.15,14.91054,,
72.2,14.96952,,
72.25,14.97572,,
72.3,14.91841,,
72.35,14.95643,,
72.4,15.0114,,
72.45,15.03786,,
72.5,15.08508,,
72.55,15.12999,,
72.6,15.18978,,
72.65,15.3195,,
72.7,15.51377,,
72.75,15.6444,,
72.8,15.87533,,
72.85,16.01485,,
72.9,16.02636,,
72.95,16.03321,,
73,15.97184,,
73.05,15.85934,,
73.1,15.81533,,
73.15,15.78577,,
73.2,15.9746,,
73.25,16.16446,,
73.3,16.26627,,
73.35,16.31563,,
73.4,16.36487,,
73.45,16.35253,,
73.5,16.19567,,
73.55,16.24424,,
73.6,16.21665,,
73.65,16.47738,,
73.7,16.83268,,
73.75,17.18318,,
73.8,17.47901,,
73.85,17.71067,,
73.9,17.87344,,
73.95,17.79243,,
74,17.74404,,
74.05,17.67229,,
74.1,17.59252,,
74.15,17.41897,,
74.2,17.22281,,
74.25,17.15958,,
74.3,17.20325,,
74.35,17.31642,,
74.4,17.51963,,
74.45,17.73642,,
74.5,18.0182,,
74.55,18.2436,,
74.6,18.34667,,
74.65,18.4107,,
74.7,18.49811,,
74.75,18.50513,,
74.8,18.54132,,
74.85,18.65274,,
74.9,18.74663,,
74.95,18.82202,,
75,18.80905,,
75.05,18.58434,,
75.1,18.54331,,
75.15,18.60476,,
75.2,18.86737,,
75.25,19.23739,,
75.3,19.60154,,
75.35,19.84699,,
75.4,19.88447,,
75.45,19.69706,,
75.5,19.49182,,
75.55,19.65214,,
75.6,19.77424,,
75.65,20.00164,,
75.7,20.25395,,
75.75,20.50381,,
75.8,20.74512,,
75.85,20.75934,,
75.9,20.74709,,
75.95,20.62771,,
76,20.55143,,
76.05,20.50536,,
76.1,20.53837,,
76.15,20.66308,,
76.2,20.83001,,
76.25,21.05596,,
76.3,21.12941,,
76.35,21.18352,,
76.4,21.22278,,
76.45,21.29677,,
76.5,21.30501,,
76.55,21.23992,,
76.6,21.28889,,
76.65,21.29292,,
76.7,21.35793,,
76.75,21.44783,,
76.8,21.63576,,
76.85,21.83988,,
76.9,22.0057,,
76.95,22.09429,,
77,22.03828,,
77.05,22.08377,,
77.1,22.07898,,
77.15,22.308,,
77.2,22.57025,,
77.25,22.73939,,
77.3,22.84728,,
77.35,22.92311,,
77.4,22.75273,,
77.45,22.48345,,
77.5,22.41098,,
77.55,22.55692,,
77.6,22.75595,,
77.65,22.95193,,
77.7,23.14738,,
77.75,23.3215,,
77.8,23.41954,,
77.85,23.13173,,
77.9,23.16925,,
77.95,23.2262,,
78,23.36158,,
78.05,23.61129,,
78.1,23.93886,,
78.15,24.26317,,
78.2,24.3331,,
78.25,24.1316,,
78.3,24.00981,,
78.35,24.04466,,
78.4,24.11986,,
78.45,24.24209,,
78.5,24.53202,,
78.55,24.99276,,
78.6,25.25164,,
78.65,25.25363,,
78.7,25.06721,,
78.75,24.97403,,
78.8,25.0545,,
78.85,25.20492,,
78.9,25.35616,,
78.95,25.73133,,
79,26.12986,,
79.05,26.32057,,
79.1,26.58115,,
79.15,26.90739,,
79.2,27.44053,,
79.25,28.1919,,
79.3,28.93644,,
79.35,29.66259,,
79.4,30.76376,,
79.45,31.71121,,
79.5,32.3046,,
79.55,32.63689,,
79.6,32.73622,,
79.65,32.58591,,
79.7,32.2696,,
79.75,31.98076,,
79.8,31.46825,,
79.85,30.85984,,
79.9,30.35184,,
79.95,29.95996,,
80,29.62051,,
80.05,29.30782,,
80.1,29.09649,,
80.15,29.01183,,
80.2,28.8608,,
80.25,28.69934,,
80.3,28.54468,,
80.35,28.57016,,
80.4,28.66858,,
80.45,28.5544,,
80.5,28.47273,,
80.55,28.44475,,
80.6,28.28234,,
80.65,28.29068,,
80.7,28.50379,,
80.75,28.63371,,
80.8,28.63383,,
80.85,28.81071,,
80.9,28.77784,,
80.95,29.08184,,
81,29.09284,,
81.05,29.2046,,
81.1,29.40615,,
81.15,29.59464,,
81.2,29.72657,,
81.25,29.87358,,
81.3,30.2991,,
81.35,30.43009,,
81.4,30.44608,,
81.45,30.3126,,
81.5,30.15097,,
81.55,30.11818,,
81.6,30.32208,,
81.65,30.78406,,
81.7,31.27398,,
81.75,31.56224,,
81.8,31.77111,,
81.85,31.83706,,
81.9,32.00829,,
81.95,32.31133,,
82,32.47052,,
82.05,32.57757,,
82.1,32.68216,,
82.15,32.50742,,
82.2,32.47519,,
82.25,32.70218,,
82.3,33.13405,,
82.35,33.7405,,
82.4,34.48454,,
82.45,34.75475,,
82.5,34.9837,,
82.55,35.12577,,
82.6,35.14326,,
82.65,35.20106,,
82.7,35.31486,,
82.75,35.42372,,
82.8,35.60453,,
82.85,35.88715,,
82.9,36.0467,,
82.95,36.1495,,
83,36.17783,,
83.05,36.27569,,
83.1,36.43294,,
83.15,36.55092,,
83.2,36.78273,,
83.25,36.96783,,
83.3,37.37065,,
83.35,37.52192,,
83.4,37.45331,,
83.45,37.37539,,
83.5,37.36249,,
83.55,37.34678,,
83.6,37.53299,,
83.65,37.86846,,
83.7,37.97915,,
83.75,38.05641,,
83.8,38.09432,,
83.85,38.13094,,
